000001.SZ,平安银行,
时间,卖1价,买1价
Time,ask1,bid1
2019-04-29 09:49:48,13.980,13.970
2019-04-29 09:49:51,13.980,13.970
2019-04-29 09:49:54,13.970,13.960
2019-04-29 09:49:57,13.970,13.960
2019-04-29 09:50:00,13.990,13.980
2019-04-29 09:50:03,13.990,13.980
2019-04-29 09:50:06,13.990,13.980
2019-04-29 09:50:09,13.990,13.980
2019-04-29 09:50:12,13.990,13.980
2019-04-29 09:50:15,13.990,13.980
2019-04-29 09:50:18,13.990,13.980
2019-04-29 09:50:21,13.990,13.980
2019-04-29 09:50:24,13.990,13.980
2019-04-29 09:50:27,13.990,13.980
2019-04-29 09:50:30,13.990,13.980
2019-04-29 09:50:33,13.990,13.980
2019-04-29 09:50:36,14.000,13.990
2019-04-29 09:50:39,14.000,13.990
2019-04-29 09:50:42,14.000,13.990
2019-04-29 09:50:45,14.000,13.990
2019-04-29 09:50:48,14.000,13.990
2019-04-29 09:50:51,14.000,13.990
2019-04-29 09:50:54,14.000,13.990
2019-04-29 09:50:57,14.000,13.990
2019-04-29 09:51:00,14.000,13.990
2019-04-29 09:51:03,13.990,13.980
2019-04-29 09:51:06,13.990,13.980
2019-04-29 09:51:09,13.990,13.980
2019-04-29 09:51:12,13.990,13.980
2019-04-29 09:51:15,13.980,13.970
2019-04-29 09:51:18,13.990,13.980
2019-04-29 09:51:21,13.990,13.980
2019-04-29 09:51:24,13.990,13.980
2019-04-29 09:51:27,13.990,13.980
2019-04-29 09:51:30,13.990,13.980
2019-04-29 09:51:33,14.000,13.990
2019-04-29 09:51:36,14.000,13.990
2019-04-29 09:51:39,14.000,13.990
2019-04-29 09:51:42,14.000,13.990
2019-04-29 09:51:45,14.010,14.000
2019-04-29 09:51:48,14.020,14.010
2019-04-29 09:51:51,14.020,14.010
2019-04-29 09:51:54,14.020,14.010
2019-04-29 09:51:57,14.010,14.000
2019-04-29 09:52:00,14.020,14.010
2019-04-29 09:52:03,14.020,14.010
2019-04-29 09:52:06,14.030,14.020
2019-04-29 09:52:09,14.030,14.020
2019-04-29 09:52:12,14.030,14.020
2019-04-29 09:52:15,14.030,14.020
2019-04-29 09:52:18,14.030,14.020
2019-04-29 09:52:21,14.030,14.020
2019-04-29 09:52:24,14.040,14.030
2019-04-29 09:52:27,14.030,14.020
2019-04-29 09:52:30,14.030,14.020
2019-04-29 09:52:33,14.040,14.030
2019-04-29 09:52:36,14.040,14.030
2019-04-29 09:52:39,14.040,14.030
2019-04-29 09:52:42,14.040,14.030
2019-04-29 09:52:45,14.040,14.030
2019-04-29 09:52:48,14.050,14.040
2019-04-29 09:52:51,14.040,14.030
2019-04-29 09:52:54,14.040,14.030
2019-04-29 09:52:57,14.050,14.030
2019-04-29 09:53:00,14.050,14.040
2019-04-29 09:53:03,14.050,14.040
2019-04-29 09:53:06,14.040,14.030
2019-04-29 09:53:09,14.040,14.030
2019-04-29 09:53:12,14.040,14.030
2019-04-29 09:53:15,14.050,14.020
2019-04-29 09:53:18,14.050,14.020
2019-04-29 09:53:21,14.040,14.030
2019-04-29 09:53:24,14.030,14.020
2019-04-29 09:53:27,14.020,14.010
2019-04-29 09:53:30,14.020,14.010
2019-04-29 09:53:33,14.020,14.010
2019-04-29 09:53:36,14.020,14.010
2019-04-29 09:53:39,13.990,13.980
2019-04-29 09:53:42,14.010,13.990
2019-04-29 09:53:45,14.020,14.000
2019-04-29 09:53:48,14.020,14.000
2019-04-29 09:53:51,14.010,14.000
2019-04-29 09:53:54,14.010,14.000
2019-04-29 09:53:57,14.020,14.000
2019-04-29 09:54:00,14.010,14.000
2019-04-29 09:54:03,14.010,14.000
2019-04-29 09:54:06,14.020,14.010
2019-04-29 09:54:09,14.020,14.010
2019-04-29 09:54:12,14.020,14.010
2019-04-29 09:54:15,14.020,14.010
2019-04-29 09:54:18,14.020,14.010
2019-04-29 09:54:21,14.020,14.010
2019-04-29 09:54:24,14.020,14.010
2019-04-29 09:54:27,14.010,14.000
2019-04-29 09:54:30,14.010,14.000
2019-04-29 09:54:33,14.010,14.000
2019-04-29 09:54:36,14.010,14.000
2019-04-29 09:54:39,14.010,14.000
2019-04-29 09:54:42,14.010,14.000
2019-04-29 09:54:45,14.010,14.000
2019-04-29 09:54:48,14.010,14.000
2019-04-29 09:54:51,14.010,14.000
2019-04-29 09:54:54,14.010,14.000
2019-04-29 09:54:57,14.020,14.010
2019-04-29 09:55:00,14.010,14.000
2019-04-29 09:55:03,14.010,14.000
2019-04-29 09:55:06,14.010,14.000
2019-04-29 09:55:09,14.010,14.000
2019-04-29 09:55:12,14.010,14.000
2019-04-29 09:55:15,14.010,14.000
2019-04-29 09:55:18,14.010,14.000
2019-04-29 09:55:21,14.010,14.000
2019-04-29 09:55:24,14.010,14.000
2019-04-29 09:55:27,14.010,14.000
2019-04-29 09:55:30,14.010,14.000
2019-04-29 09:55:33,14.010,14.000
2019-04-29 09:55:36,14.010,14.000
2019-04-29 09:55:39,14.010,14.000
2019-04-29 09:55:42,14.010,14.000
2019-04-29 09:55:45,14.010,14.000
2019-04-29 09:55:48,14.010,14.000
2019-04-29 09:55:51,14.010,14.000
2019-04-29 09:55:54,14.010,14.000
2019-04-29 09:55:57,14.010,14.000
2019-04-29 09:56:00,14.010,14.000
2019-04-29 09:56:03,14.010,14.000
2019-04-29 09:56:06,14.010,14.000
2019-04-29 09:56:09,14.010,14.000
2019-04-29 09:56:12,14.010,14.000
2019-04-29 09:56:15,14.010,14.000
2019-04-29 09:56:18,14.010,14.000
2019-04-29 09:56:21,14.000,13.990
2019-04-29 09:56:24,14.000,13.990
2019-04-29 09:56:27,14.000,13.990
2019-04-29 09:56:30,14.000,13.990
2019-04-29 09:56:33,14.000,13.990
2019-04-29 09:56:36,14.000,13.990
2019-04-29 09:56:39,14.000,13.990
2019-04-29 09:56:42,14.000,13.990
2019-04-29 09:56:45,14.000,13.990
2019-04-29 09:56:48,14.000,13.990
2019-04-29 09:56:51,14.000,13.990
2019-04-29 09:56:54,14.000,13.990
2019-04-29 09:56:57,14.000,13.990
2019-04-29 09:57:00,14.000,13.990
2019-04-29 09:57:03,14.000,13.990
2019-04-29 09:57:06,14.000,13.990
2019-04-29 09:57:09,14.010,14.000
2019-04-29 09:57:12,14.000,13.990
2019-04-29 09:57:15,14.000,13.990
2019-04-29 09:57:18,14.000,13.990
2019-04-29 09:57:21,14.000,13.990
2019-04-29 09:57:24,14.000,13.990
2019-04-29 09:57:27,14.000,13.990
2019-04-29 09:57:30,14.000,13.990
2019-04-29 09:57:33,14.000,13.990
2019-04-29 09:57:36,14.000,13.990
2019-04-29 09:57:39,14.000,13.990
2019-04-29 09:57:42,14.000,13.990
2019-04-29 09:57:45,13.990,13.980
